"title","firstname","middlename","lastname","name_suffix","nickname","party","state","district","in_office","gender","phone","fax","website","webform","congress_office","bioguide_id","votesmart_id","fec_id","govtrack_id","crp_id","twitter_id","congresspedia_url","youtube_url","facebook_id","official_rss","senate_class","birthdate"
"Rep","Mark","E.","Amodei","","","R","NV","2","1","M","202-225-6155","202-225-5679","http://amodei.house.gov/","https://amodei.house.gov/contact-me","125 Cannon House Office Building","A000369","12537","H2NV02395","412500","N00031177","MarkAmodeiNV2","http://www.opencongress.org/wiki/Mark_Amodei","http://www.youtube.com/markamodeinv2","","","","06/12/1958"
"Rep","Spencer","","Bachus","","","R","AL","6","1","M","202-225-4921","202-225-2082","http://bachus.house.gov/","http://www.house.gov/writerep/","2246 Rayburn House Office Building","B000013","26715","H2AL06035","400010","N00008091","BachusAL06","http://www.opencongress.org/wiki/Spencer_Bachus","http://www.youtube.com/CongressmanBachus","SpencerBachus","","","12/28/1947"
"Rep","Richard","Hugh","Baker","","","R","LA","6","0","M","","","","","","B000072","26882","H6LA06083","400012","N00005407","","http://www.opencongress.org/wiki/Richard_Baker","","","","","05/22/1948"
"Rep","Roscoe","G.","Bartlett","","","R","MD","6","1","M","202-225-2721","202-225-2193","http://bartlett.house.gov","http://www.bartlett.house.gov/Email_Roscoe/","2412 Rayburn House Office Building","B000208","26891","H2MD06054","400017","N00002017","","http://www.opencongress.org/wiki/Roscoe_Bartlett","http://www.youtube.com/RepRoscoeBartlett","roscoebartlett","","","06/03/1926"
"Rep","Joe","Linus","Barton","","","R","TX","6","1","M","202-225-2002","202-225-3052","http://joebarton.house.gov/","http://joebarton.house.gov/ContactJoe.aspx?Type=Email","2109 Rayburn House Office Building","B000213","27082","H4TX06117","400018","N00005656","RepJoeBarton","http://www.opencongress.org/wiki/Joe_Barton","http://www.youtube.com/RepJoeBarton","RepJoeBarton","","","09/15/1949"
"Rep","Charles","","Bass","","Charlie","R","NH","2","1","M","202-225-5206","202-225-2946","http://bass.house.gov/","","2350 Rayburn House Office Building","B000220","22216","H0NH02017","400019","N00000423","RepCharlesBass","http://www.opencongress.org/wiki/Charlie_Bass","http://www.youtube.com/RepCharlesBass","","","","01/08/1952"
"Sen","Max","S.","Baucus","","","D","MT","Senior Seat","1","M","202-224-2651","202-224-0515","http://www.baucus.senate.gov","http://www.baucus.senate.gov/contact/emailForm.cfm?subj=issue","511 Hart Senate Office Building","B000243","53315","S8MT00010","300005","N00004643","","http://www.opencongress.org/wiki/Max_Baucus","http://www.youtube.com/SenatorBaucus","","","II","12/11/1941"
"Rep","Xavier","","Becerra","","","D","CA","31","1","M","202-225-6235","202-225-2202","http://becerra.house.gov/","http://becerra.house.gov/HoR/CA31/Hidden+Content/Email+Signup+Form.htm","1226 Longworth House Office Building","B000287","26754","H2CA30143","400021","N00009774","repbecerra","http://www.opencongress.org/wiki/Xavier_Becerra","http://www.youtube.com/XavierBecerra","XavierBecerra","","","01/26/1958"
"Sen","Robert","F.","Bennett","","Bob","R","UT","Junior Seat","0","M","","","","","","B000382","53351","S2UT00104","300007","N00006347","","http://www.opencongress.org/wiki/Robert_Bennett","http://www.youtube.com/SenatorBennett","","","III","09/18/1933"
"Rep","Howard","L.","Berman","","","D","CA","28","1","M","202-225-4695","202-225-3196","http://www.house.gov/berman/","http://www.house.gov/berman/contact/","2221 Rayburn House Office Building","B000410","26756","H2CA26026","400025","N00008094","RepHowardBerman","http://www.opencongress.org/wiki/Howard_Berman","http://www.youtube.com/RepHowardBerman","RepHowardBerman","","","04/15/1941"
"Rep","Robert","Marion","Berry","","Marion","D","AR","1","0","M","","","","","","B000420","430","H6AR01072","400026","N00005455","","http://www.opencongress.org/wiki/Robert_Marion_Berry","http://www.youtube.com/CongressmanBerry","","","","08/27/1942"
"Sen","Joseph","R.","Biden","Jr.","","D","DE","Senior Seat","0","M","","","","","","B000444","53279","S8DE00012","300008","N00001669","joebiden","http://www.opencongress.org/wiki/Joseph_Biden","","","","II","11/20/1942"
"Rep","Brian","P.","Bilbray","","","R","CA","50","1","M","202-225-0508","202-225-2558","http://bilbray.house.gov/","http://www.house.gov/bilbray/contact.shtml","2410 Rayburn House Office Building","B000461","21916","H4CA49032","400570","N00006981","BilbrayCA50","http://www.opencongress.org/wiki/Brian_Bilbray","http://www.youtube.com/CongressmanBilbray","CongressmanBilbray","","","01/28/1951"
"Sen","Jeff","","Bingaman","","","D","NM","Senior Seat","1","M","202-224-5521","202-224-2852","http://www.bingaman.senate.gov","http://www.bingaman.senate.gov/contact/","703 Hart Senate Office Building","B000468","53326","S2NM00021","300009","N00006518","","http://www.opencongress.org/wiki/Jeff_Bingaman","http://www.youtube.com/SenJeffBingaman","jeffbingaman","","I","10/03/1943"
"Rep","Sanford","D.","Bishop","Jr.","","D","GA","2","1","M","202-225-3631","202-225-2203","http://bishop.house.gov/","http://bishop.house.gov/display.cfm?section_id=13","2429 Rayburn House Office Building","B000490","26817","H2GA02031","400030","N00002674","SanfordBishop","http://www.opencongress.org/wiki/Sanford_Bishop","http://www.youtube.com/RepSanfordBishop","366739521606","","","02/04/1947"
"Rep","Earl","","Blumenauer","","","D","OR","3","1","M","202-225-4811","202-225-8941","http://blumenauer.house.gov/","http://blumenauer.house.gov/index.php?option=com_email_form&Itemid=206","1502 Longworth House Office Building","B000574","367","H6OR03064","400033","N00007727","blumenauermedia","http://www.opencongress.org/wiki/Earl_Blumenauer","http://www.youtube.com/RepBlumenauer","blumenauer","","","08/16/1948"
"Sen","Roy","","Blunt","","","R","MO","Junior Seat","1","M","202-224-5721","","http://www.blunt.senate.gov","http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy","260 Russell Senate Office Building","B000575","418","H6MO07128","400034","N00005195","RoyBlunt","http://www.opencongress.org/wiki/Roy_Blunt","http://www.youtube.com/RepRoyBlunt","SenatorBlunt","","III","01/10/1950"
"Rep","John","A.","Boehner","","","R","OH","8","1","M","202-225-6205","202-225-0704","http://johnboehner.house.gov/","http://www.johnboehner.house.gov/Contact/","1011 Longworth House Office Building","B000589","27015","H0OH08029","400036","N00003675","SpeakerBoehner","http://www.opencongress.org/wiki/John_Boehner","http://www.youtube.com/JohnBoehner","johnboehner","","","11/17/1949"
"Sen","Christopher","S.","Bond","","Kit","R","MO","Senior Seat","0","M","","","","","274 Russell Senate Office Building","B000611","53313","S6MO00289","300010","N00005178","","http://www.opencongress.org/wiki/Christopher_Bond","http://www.youtube.com/CSBondMO","","","III","03/06/1939"
"Rep","Leonard","L.","Boswell","","","D","IA","3","1","M","202-225-3806","202-225-5608","http://boswell.house.gov/","http://boswell.house.gov/messageform.htm","1026 Longworth House Office Building","B000652","384","H6IA03144","400042","N00004208","LeonardBoswell","http://www.opencongress.org/wiki/Leonard_Boswell","http://www.youtube.com/RepLeonardBoswell","leonard.boswell","","","01/10/1934"
"Rep","Frederick","C.","Boucher","","Rick","D","VA","9","0","M","","","","","","B000657","27119","H2VA09010","400043","N00002171","","http://www.opencongress.org/wiki/Frederick_Boucher","","","","","08/01/1946"
"Sen","Barbara","","Boxer","","","D","CA","Junior Seat","1","F","202-224-3553","202-224-0454","http://www.boxer.senate.gov","http://www.boxer.senate.gov/en/contact/","112 Hart Senate Office Building","B000711","53274","S2CA00286","300011","N00006692","senatorboxer","http://www.opencongress.org/wiki/Barbara_Boxer","http://www.youtube.com/SenatorBoxer","barbaraboxer","","III","11/11/1940"
"Rep","Allen","","Boyd","Jr.","","D","FL","2","0","M","","","","","","B000716","729","H6FL00046","400044","N00002743","","http://www.opencongress.org/wiki/Allen_Boyd","http://www.youtube.com/CongBoyd","","","","06/06/1945"
"Rep","Kevin","P.","Brady","","","R","TX","8","1","M","202-225-4901","202-225-5524","http://www.house.gov/brady/","http://www.house.gov/brady/contact_page.html","301 Cannon House Office Building","B000755","361","H6TX08100","400046","N00005883","RepKevinBrady","http://www.opencongress.org/wiki/Kevin_Brady","http://www.youtube.com/KBrady8","kevinbrady","","","04/11/1955"
"Rep","Corrine","","Brown","","","D","FL","3","1","F","202-225-0123","202-225-2256","http://www.house.gov/corrinebrown/","http://www.house.gov/corrinebrown/IMA/issue.shtml","2336 Rayburn House Office Building","B000911","26797","H4FL03060","400048","N00002713","RepCorrineBrown","http://www.opencongress.org/wiki/Corrine_Brown","http://www.youtube.com/user/CongresswomanBrown","","","","11/11/1946"
"Sen","Sherrod","C.","Brown","","","D","OH","Senior Seat","1","M","202-224-2315","202-228-6321","http://www.brown.senate.gov/","http://www.brown.senate.gov/contact/","713 Hart Senate Office Building","B000944","27018","H2OH13033","400050","N00003535","SenSherrodBrown","http://www.opencongress.org/wiki/Sherrod_Brown","http://www.youtube.com/SherrodBrownOhio","109453899081640","","I","11/09/1952"
"Sen","Samuel","D.","Brownback","","Sam","R","KS","Senior Seat","0","M","","","","","","B000953","21952","S6KS00122","300013","N00005244","SenSamBrownback","http://www.opencongress.org/wiki/Samuel_Brownback","http://www.youtube.com/SenatorSamBrownback","","","III","09/12/1956"
"Sen","Jim","","Bunning","","","R","KY","Junior Seat","0","M","202-224-4343","202-228-1373","http://bunning.senate.gov/","http://bunning.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm","316 Hart Senate Office Building","B001066","26874","S8KY00118","300014","N00003437","","http://www.opencongress.org/wiki/Jim_Bunning","http://www.youtube.com/SenJimBunning","","","III","10/23/1931"
"Sen","Richard","M.","Burr","","","R","NC","Senior Seat","1","M","202-224-3154","202-228-2981","http://www.burr.senate.gov","http://www.burr.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm","217 Russell Senate Office Building","B001135","21787","S4NC00089","400054","N00002221","senatorburr","http://www.opencongress.org/wiki/Richard_Burr","http://www.youtube.com/senatorrichardburr","senatorburr","","III","11/30/1955"
"Rep","Dan","L.","Burton","","","R","IN","5","1","M","202-225-2276","202-225-0016","http://burton.house.gov/","http://burton.house.gov/contacts/new","2308 Rayburn House Office Building","B001149","26855","H2IN06023","400055","N00000010","RepDanBurton","http://www.opencongress.org/wiki/Dan_Burton","http://www.youtube.com/CongressmanDanBurton","congressmandanburton","","","06/21/1938"
"Rep","Stephen","E.","Buyer","","Steve","R","IN","4","0","M","","","","","","B001203","26854","H2IN05025","400056","N00003924","","http://www.opencongress.org/wiki/Stephen_Buyer","http://www.youtube.com/sbuyer","","","","11/26/1958"
"Sen","Robert","C.","Byrd","","","D","WV","Senior Seat","0","M","","","","","","B001210","53359","S6WV00014","300016","N00002200","","http://www.opencongress.org/wiki/Robert_Byrd","","","","I","11/20/1917"
"Rep","Robert","A.","Brady","","Bob","D","PA","1","1","M","202-225-4731","202-225-0088","http://brady.house.gov/","http://www.house.gov/formrobertbrady/issue.htm","102 Cannon House Office Building","B001227","2519","H8PA01153","400047","N00001619","RepBrady","http://www.opencongress.org/wiki/Robert_Brady","http://www.youtube.com/BradyPA01","118845109487","","","04/07/1945"
"Rep","Mary","Whitaker","Bono Mack","","","R","CA","45","1","F","202-225-5330","202-225-2961","http://bono.house.gov/","http://www.house.gov/formbono/issue.htm","104 Cannon House Office Building","B001228","1434","H8CA44034","400039","N00007068","MaryBonoMack","http://www.opencongress.org/wiki/Mary_Bono_Mack","http://www.youtube.com/BonoMackCA45","mary.b.mack","","","10/24/1961"
"Rep","Brian","N.","Baird","","","D","WA","3","0","M","","","","","","B001229","837","H6WA03135","400011","N00007936","","http://www.opencongress.org/wiki/Brian_Baird","http://www.youtube.com/Repbrianbaird","","","","03/07/1956"
"Rep","Tammy","","Baldwin","","","D","WI","2","1","F","202-225-2906","202-225-6942","http://tammybaldwin.house.gov/","http://www.house.gov/formbaldwin/IMA/get_address.htm","2446 Rayburn House Office Building","B001230","3470","H8WI00018","400013","N00004367","","http://www.opencongress.org/wiki/Tammy_Baldwin","http://www.youtube.com/RepTammyBaldwin","TammyBaldwin","","","02/11/1962"
"Rep","Shelley","","Berkley","","","D","NV","1","1","F","202-225-5965","202-225-3119","http://berkley.house.gov/","http://berkley.house.gov/contact/email.html","405 Cannon House Office Building","B001231","22744","H8NV01071","400024","N00009818","repberkley","http://www.opencongress.org/wiki/Shelley_Berkley","http://www.youtube.com/ShelleyBerkley","shelleyberkley","","","01/20/1951"
"Rep","Judy","","Biggert","","","R","IL","13","1","F","202-225-3515","202-225-9420","http://judybiggert.house.gov/","http://judybiggert.house.gov/ContactJudy.aspx","2113 Rayburn House Office Building","B001232","6298","H8IL13069","400027","N00004762","JudyBiggert","http://www.opencongress.org/wiki/Judy_Biggert","http://www.youtube.com/JudyBiggert","JudyBiggert","","","08/15/1937"
"Sen","Evan","","Bayh","","","D","IN","Junior Seat","0","M","","","","","","B001233","22418","S8IN00049","300006","N00003762","","http://www.opencongress.org/wiki/Evan_Bayh","http://www.youtube.com/SenEvanBayh","","","III","12/26/1955"
"Rep","Joe","","Baca","","","D","CA","43","1","M","202-225-6161","202-225-8671","http://www.house.gov/baca/","http://www.house.gov/baca/zipauth.shtml","2366 Rayburn House Office Building","B001234","8039","H6CA42099","400009","N00007089","RepJoeBaca","http://www.opencongress.org/wiki/Joe_Baca","http://www.youtube.com/user/RepJoeBaca","BacaCA43","","","01/23/1947"
"Rep","Henry","E.","Brown","Jr.","","R","SC","1","0","M","","","","","","B001235","3993","H0SC01071","400049","N00002428","","http://www.opencongress.org/wiki/Henry_Brown","http://www.youtube.com/CongressmanBrown","","","","12/20/1935"
"Sen","John","N.","Boozman","","","R","AR","Junior Seat","1","M","202-224-4843","","http://www.boozman.senate.gov/","http://www.boozman.senate.gov/public/index.cfm/e-mail-me","320 Hart Senate Office Building","B001236","27958","H2AR03176","400040","N00013873","JohnBoozman","http://www.opencongress.org/wiki/John_Boozman","http://www.youtube.com/BoozmanPressOffice","JohnBoozman","","III","12/10/1950"
"Rep","J. Gresham","","Barrett","","","R","SC","3","0","M","","","","","","B001239","14577","H2SC03057","400016","N00013837","greshambarrett","http://www.opencongress.org/wiki/J._Gresham_Barrett","http://www.youtube.com/Repgreshambarrett","","","","02/14/1961"
"Rep","Timothy","H.","Bishop","","","D","NY","1","1","M","202-225-3826","202-225-3143","http://timbishop.house.gov/","http://timbishop.house.gov/?sectionid=96&sectiontree=7,96","306 Cannon House Office Building","B001242","44518","H2NY01067","400031","N00025413","timbishopny","http://www.opencongress.org/wiki/Timothy_Bishop","http://www.youtube.com/timbishop01","","","","06/01/1950"
"Rep","Marsha","","Blackburn","","","R","TN","7","1","F","202-225-2811","202-225-3004","http://blackburn.house.gov/","http://blackburn.house.gov/contactform/","217 Cannon House Office Building","B001243","25186","H2TN06030","400032","N00003105","MarshaBlackburn","http://www.opencongress.org/wiki/Marsha_Blackburn","http://www.youtube.com/RepMarshaBlackburn","marshablackburn","","","06/06/1952"
"Rep","Josiah","Robins","Bonner","Jr.","Jo","R","AL","1","1","M","202-225-4931","202-225-0562","http://bonner.house.gov","https://forms.house.gov/bonner/webforms/issue_subscribe.html","2236 Rayburn House Office Building","B001244","27522","H2AL01077","400038","N00025330","repjobonner","http://www.opencongress.org/wiki/Josiah_Bonner","http://www.youtube.com/user/JoBonner","jobonner","","","11/19/1959"
"Del","Madeline","","Bordallo","","","D","GU","0","1","F","202-225-1188","202-226-0341","http://www.house.gov/bordallo/","http://www.house.gov/bordallo/IMA/issue.htm","2441 Rayburn House Office Building","B001245","1751","H2GU00033","400041","N00024866","","http://www.opencongress.org/wiki/Madeline_Bordallo","","","","","05/31/1933"
"Rep","Virginia","","Brown-Waite","","Ginny","R","FL","5","0","F","","","","","","B001247","8077","H2FL05127","400051","N00024777","","http://www.opencongress.org/wiki/Virginia_Brown-Waite","http://www.youtube.com/RepGinnyBrownWaite","","","","10/05/1943"
"Rep","Michael","C.","Burgess","","","R","TX","26","1","M","202-225-7772","202-225-2919","http://burgess.house.gov/","https://forms.house.gov/wyr/welcome.shtml","2241 Rayburn House Office Building","B001248","50120","H2TX26093","400052","N00025219","michaelcburgess","http://www.opencongress.org/wiki/Michael_Burgess","http://www.youtube.com/MichaelCBurgessMD","michaelcburgess","","","12/23/1950"
"Rep","Rob","","Bishop","","","R","UT","1","1","M","202-225-0453","202-225-5857","http://robbishop.house.gov/","http://robbishop.house.gov/ZipAuth.aspx","123 Cannon House Office Building","B001250","50544","H2UT01094","400029","N00025292","","http://www.opencongress.org/wiki/Rob_Bishop","http://www.youtube.com/CongressmanBishop","130802746950682","","","07/13/1951"
"Rep","George","K.","Butterfield","Jr.","G.K.","D","NC","1","1","M","202-225-3101","202-225-3354","http://butterfield.house.gov/","http://butterfield.house.gov/contactinfo.asp","2305 Rayburn Cannon House Office Building","B001251","41077","H4NC01046","400616","N00027035","gkbutterfield","http://www.opencongress.org/wiki/George_Butterfield","http://www.youtube.com/gkbutterfield","","","","04/27/1947"
"Rep","John","","Barrow","","","D","GA","12","1","M","202-225-2823","202-225-3377","http://www.barrow.house.gov/","https://forms.house.gov/barrow/webforms/issue_subscribe.htm","2202 Rayburn House Office Building","B001252","31780","H4GA12010","400628","N00026080","repjohnbarrow","http://www.opencongress.org/wiki/John_Barrow","http://www.youtube.com/RepJohnBarrow","CongressmanJohnBarrow","","","10/31/1955"
"Rep","Melissa","","Bean","","","D","IL","8","0","F","202-225-3711","202-225-7830","http://bean.house.gov/","http://www.house.gov/bean/issue_subscribe.htm","432 Cannon House Office Building","B001253","33448","H2IL08088","400631","N00024875","","http://www.opencongress.org/wiki/Melissa_Bean","http://www.youtube.com/RepMelissaBean","","","","01/22/1962"
"Rep","David","Daniel","Boren","","Dan","D","OK","2","1","M","202-225-2701","202-225-3038","http://boren.house.gov/","http://www.house.gov/boren/emailsignup.shtml","2447 Rayburn House Office Building","B001254","46182","H4OK02089","400645","N00026481","","http://www.opencongress.org/wiki/David_Daniel_Boren","http://www.youtube.com/CongressmanBoren","","","","08/02/1973"
"Rep","Charles","","Boustany","Jr.","","R","LA","7","1","M","202-225-2031","202-225-5724","http://boustany.house.gov/","http://boustany.house.gov/ContactCharles.asp","1431 Longworth House Office Building","B001255","35514","H4LA07029","400636","N00026595","RepBoustany","http://www.opencongress.org/wiki/Charles_Boustany","http://www.youtube.com/boustanyla07","6377009769","","","02/21/1956"
"Rep","Michele","","Bachmann","","","R","MN","6","1","F","202-225-2331","202-225-6475","http://bachmann.house.gov/","http://bachmann.house.gov/Email_zip.htm","103 Cannon House Office Building","B001256","54675","H6MN06074","412216","N00027493","MicheleBachmann","http://www.opencongress.org/wiki/Michele_Bachmann","http://www.youtube.com/RepMicheleBachmann","7658849357","","","04/06/1956"
"Rep","Gus","Michael","Bilirakis","","Gus","R","FL","9","1","M","202-225-5755","202-225-4085","http://bilirakis.house.gov/","http://bilirakis.house.gov/index.php?option=com_content&task=view&id=212&Itemid=44","1124 Longworth House Office Building","B001257","17318","H6FL09070","412250","N00027462","RepGusBilirakis","http://www.opencongress.org/wiki/Gus_Michael_Bilirakis","http://www.youtube.com/RepGusBilirakis","GusBilirakis","","","02/08/1963"
"Rep","Nancy","E.","Boyda","","","D","KS","2","0","F","","","","","","B001258","34790","H4KS02107","412210","N00026434","","http://www.opencongress.org/wiki/Nancy_Boyda","","","","","08/02/1955"
"Rep","Bruce","","Braley","","","D","IA","1","1","M","202-225-2911","202-225-6666","http://www.braley.house.gov/","https://forms.house.gov/braley/webforms/issue_subscribe.html","1727 Longworth House Office Building","B001259","57382","H6IA01098","412208","N00027464","brucebraley","http://www.opencongress.org/wiki/Bruce_Braley","http://www.youtube.com/RepBruceBraley","","","","10/30/1957"
"Rep","Vern","","Buchanan","","","R","FL","13","1","M","202-225-5015","202-226-0828","http://buchanan.house.gov/","http://buchanan.house.gov/contact.shtml","221 Cannon House Office Building","B001260","66247","H6FL13148","412196","N00027626","VernBuchanan","http://www.opencongress.org/wiki/Vern_Buchanan","http://www.youtube.com/vernbuchanan","CongressmanBuchanan","","","05/08/1951"
"Sen","John","","Barrasso","","","R","WY","Junior Seat","1","M","202-224-6441","202-224-1724","http://www.barrasso.senate.gov","http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm","307 Dirksen Senate Office Building","B001261","52662","S6WY00068","412251","N00006236","SenJohnBarrasso","http://www.opencongress.org/wiki/John_Barrasso","","johnbarrasso","","I","07/21/1952"
"Rep","Paul","C.","Broun","","","R","GA","10","1","M","202-225-4101","202-226-0776","http://broun.house.gov/","http://broun.house.gov/email.shtml","325 Cannon House Office Building","B001262","70001","H8GA10049","412252","N00028986","RepPaulBrounMD","http://www.opencongress.org/wiki/Paul_Broun","http://www.youtube.com/RepPaulBroun","RepPaulBroun","","","12/07/1946"
"Rep","John","A.","Boccieri","","","D","OH","16","0","M","","","","","","B001263","45694","H8OH16058","412266","N00029161","","http://www.opencongress.org/wiki/John_Boccieri","http://www.youtube.com/CongressmanBoccieri","","","","10/05/1969"
"Rep","Bobby","","Bright","","","D","AL","2","0","M","","","","","","B001264","104839","H8AL02130","412267","N00029838","","http://www.opencongress.org/wiki/Bobby_Bright","http://www.youtube.com/RepBrightAL02","","","","07/21/1952"
"Sen","Mark","","Begich","","","D","AK","Junior Seat","1","M","202-224-3004","202-224-2354","http://www.begich.senate.gov","http://www.begich.senate.gov/public/index.cfm?p=EmailSenator","111 Russell Senate Office Building","B001265","79426","S8AK00090","412326","N00029901","SenatorBegich","http://www.opencongress.org/wiki/Mark_Begich","http://www.youtube.com/ussenatormarkbegich","Begich","","II","03/30/1962"
"Sen","Roland","W.","Burris","","","D","IL","Junior Seat","0","M","","","","","","B001266","18168","S4IL00057","412328","N00015389","rolandwburris","http://www.opencongress.org/wiki/Roland_Burris","","","","III","08/03/1937"
"Sen","Michael","","Bennet","","","D","CO","Junior Seat","1","M","202-224-5852","202-228-5036","http://www.bennet.senate.gov","http://www.bennet.senate.gov/contact/","458 Russell Senate Office Building","B001267","110942","S0CO00211","412330","N00030608","SenBennetCo","http://www.opencongress.org/wiki/Michael_Bennet","http://www.youtube.com/senatorbennet","senatorbennet","","III","11/28/1964"
